title,company,location,job_type
Remote Customer Support - $20/hr - United States,Remote Talent Cloud,"Cheyenne, WY","Featured, Contract, Anywhere in the World"
"Live Technical Support Representative — Full-Time (40 hrs/week, Sat–Sun required) — $40,000/year + Benefits — Locations: USA",Porkbun,Oregon USA,"Featured, Full-Time, $25,000 - $48,999 USD, 🇺🇸 United States of America"
N/A,ClickUp,"All your tasks, docs, chat, and AI in one place.","For Remote Teams, AI Super Agents, Async Work, 1000+ Integrations"
"SaaS Product Specialist (German-speaking, EMEA)",Creative Force,Creative Force,"Featured, Top 100, Full-Time, Anywhere in the World"
N/A,Metana,"Stay relevant. Learn AI skills on your schedule with 1:1 support & get a job, or your money back.",N/A
Customer Support Agent (Remote),CRAE GROUP LTD,Cyprus,"Featured, Full-Time, $10,000 - $25,000 USD, 🇧🇬 Bulgaria, 🇨🇾 Cyprus, 🇪🇪 Estonia, 🇭🇺 Hungary, 🇱🇹 Lithuania, 🇱🇻 Latvia, 🇵🇱 Poland, 🇷🇴 Romania, 🇷🇸 Serbia, 🇸🇰 Slovakia, 🇺🇦 Ukraine"
"Product Support Jedi – Remote, APAC",Creative Force,Creative Force,"Featured, Top 100, Full-Time, Anywhere in the World"
N/A,Learnisa,"Boost your resume, build skills for your dream job, or explore new career paths.","Career Growth, Upskilling, Online Courses, Professional Development"
Customer Success Associate,Alaan,United Arab Emirates,"Featured, Full-Time, 🇮🇳 India"
N/A,Walter,"Find flexible remote roles across tech, marketing, sales, support, and more.","Global Companies, Curated Marches, Flexible Schedules, Fully Remote"
Technical Customer Support (English + Spanish and/or Portuguese) UTC-4 / UTC-5,Crisp,"Nantes, France","Full-Time, Anywhere in the World"
Customer Support Representative,ClinicSense,"Toronto, Canada","Full-Time, Anywhere in the World"
"Chat Support Agent (Remote) - Entry Level, No Degree Required - 15 - 18 per Hour",NoGigiddy,"Atlanta, Georgia","Top 100, Full-Time, $25,000 - $48,999 USD, 🇺🇸 United States of America"
Customer Operations & Writing Specialist,Clerky,USA,"Full-Time, Anywhere in the World"
Inside Sales - Account Executive,Credit Wellness LLC,USA,"Featured, Contract, $75,000 - $99,999 USD, Anywhere in the World"
Sales Jedi,Creative Force,Creative Force,"Featured, Top 100, Full-Time, Anywhere in the World"
Sales & Customer Growth Lead,Jersey Watch,"Cincinnati, Ohio, United States","Featured, Full-Time, Anywhere in the World"
Head of Marketing,Solé Bicycles,"Venice Beach, California","Featured, Full-Time, Anywhere in the World"
"Marketing – Growth, Content & Acquisition",Everis,"Las Vegas, Nevada","Featured, Full-Time, $75,000 - $99,999 USD, Anywhere in the World"
Inside Sales Manager,Mr. Glazier,"979 3rd Avenue suite 815, New York NY 10022","Featured, Full-Time, $25,000 - $48,999 USD, Anywhere in the World"
